taxonomy,Lon,Lat,BALoccupants,BALoccupantsSTD,BALstructural,BALstructuralSTD,BELoccupants,BELoccupantsSTD,BELstructural,BELstructuralSTD,CHoccupants,CHoccupantsSTD,CHstructural,CHstructuralSTD,EAoccupants,EAoccupantsSTD,EAstructural,EAstructuralSTD,NFoccupants,NFoccupantsSTD,NFstructural,NFstructuralSTD,SToccupants,SToccupantsSTD,STstructural,STstructuralSTD,SFoccupants,SFoccupantsSTD,SFstructural,SFstructuralSTD,SUoccupants,SUoccupantsSTD,SUstructural,SUstructuralSTD,ISKoccupants,ISKoccupantsSTD,ISKstructural,ISKstructuralSTD,ISHAMoccupants,ISHAMoccupantsSTD,ISHAMstructural,ISHAMstructuralSTD
MUR+ADO/LWAL+DNO/FW/HBET:1,74.5823,42.9665,0.00336715,,6066.56,,0.0322,,33711.5,,0.06398380000000001,,56736.6,,0.0293375,,31101.4,,0.217133,,144651.0,,0.09034110000000001,,74024.7,,0.0509545,,47432.5,,0.00327674,,5957.36,,0.128588,,97089.5,,0.127298,,96341.3,
MCF+MOC/LWAL+DNO/FC/HBET:1-5,74.6448,42.9716,0.00039987400000000004,,3818.63,,0.00759462,,24710.6,,0.0325453,,65068.8,,0.0125913,,33882.6,,0.425446,,414729.0,,0.06323669999999999,,103992.0,,0.0253258,,54281.0,,0.00020139900000000003,,2564.42,,0.123365,,168157.0,,0.123171,,167963.0,
UNK,74.6448,42.9716,0.000609328,,6751.71,,0.00811424,,46091.0,,0.0288128,,121051.0,,0.012498700000000001,,63288.2,,0.26660900000000004,,694938.0,,0.0516164,,191309.0,,0.023032499999999997,,101158.0,,0.00033328300000000003,,4451.57,,0.0925271,,303125.0,,0.0923995,,302792.0,
CR+PC/LFLS+DUC/FC/HBET:5-9,74.6448,42.9716,0.00357842,,107833.0,,0.06537269999999999,,420520.0,,0.291848,,911838.0,,0.12645399999999998,,580058.0,,2.81889,,3663490.0,,0.542697,,1302320.0,,0.25619200000000003,,843229.0,,0.00438886,,120427.0,,1.0397100000000001,,1934360.0,,1.03816,,1932520.0,
CR+PC/LWAL+DUC/FC/HBET:1-16,74.6448,42.9716,0.000728475,,43712.1,,0.023847,,258738.0,,0.138378,,657452.0,,0.0446311,,349352.0,,3.2050400000000003,,4651850.0,,0.30649499999999996,,1047400.0,,0.103256,,550686.0,,0.00032383,,29809.1,,0.686279,,1714040.0,,0.684988,,1711980.0,
CR+CIP/LFM+DUC/FC/HBET:1-7,74.6448,42.9716,0.022759400000000003,,313750.0,,0.31827,,1333800.0,,1.2092,,2889340.0,,0.5018229999999999,,1702700.0,,13.8987,,14634200.0,,2.25245,,4275740.0,,0.9556979999999999,,2485020.0,,0.0125053,,234300.0,,4.235519999999999,,6468400.0,,4.22918,,6461860.0,
CR+CIP/LFINF+DNO/FC/HBET:3-7,74.6448,42.9716,0.0216743,,524524.0,,0.375784,,2051970.0,,1.62049,,4455940.0,,0.715489,,2832980.0,,14.674,,17618600.0,,2.96807,,6359250.0,,1.42572,,4120270.0,,0.0264837,,585801.0,,5.589919999999999,,9418350.0,,5.58179,,9409480.0,
MUR+MOCL/LWAL+DNO/FC/HBET:1-2,74.6448,42.9716,0.000397335,,17654.4,,0.00446978,,115925.0,,0.014474200000000001,,293391.0,,0.00665073,,157239.0,,0.11124200000000001,,1504620.0,,0.0248666,,453869.0,,0.0117293,,246780.0,,0.00022670400000000002,,11700.4,,0.04262,,700751.0,,0.0425658,,700027.0,
MR+MOC/LWAL+DNO/FC/HBET:3-5,74.6448,42.9716,0.043580400000000005,,168108.0,,0.550779,,803596.0,,1.9976900000000002,,1877820.0,,0.967613,,1151200.0,,13.6554,,7205330.0,,3.4110199999999997,,2717630.0,,1.77793,,1727270.0,,0.0520222,,189606.0,,5.95599,,4020890.0,,5.94832,,4017180.0,
MR+MOC/LWAL+DNO/FC/HBET:1-2,74.6448,42.9716,2.95997e-07,,377.35400000000004,,6.21212e-05,,7860.1,,0.000595327,,37856.9,,0.000136692,,13279.9,,0.0529435,,919961.0,,0.00169756,,80335.7,,0.000422387,,29414.1,,0.0,,188.672,,0.00511115,,175450.0,,0.00509567,,175081.0,
