taxonomy,Lon,Lat,BALcomplete,BALcompleteSTD,BELcomplete,BELcompleteSTD,CHcomplete,CHcompleteSTD,EAcomplete,EAcompleteSTD,NFcomplete,NFcompleteSTD,STcomplete,STcompleteSTD,SFcomplete,SFcompleteSTD,SUcomplete,SUcompleteSTD,ISKcomplete,ISKcompleteSTD,ISHAMcomplete,ISHAMcompleteSTD,BALext,BALmod,BALslight,BALno,BELext,BELmod,BELslight,BELno,CHext,CHmod,CHslight,CHno,EAext,EAmod,EAslight,EAno,NFext,NFmod,NFslight,NFno,SText,STmod,STslight,STno,SFext,SFmod,SFslight,SFno,SUext,SUmod,SUslight,SUno,ISKext,ISKmod,ISKslight,ISKno,ISHAMext,ISHAMmod,ISHAMslight,ISHAMno
MR+MOC/LWAL+DNO/FC/HBET:3-5,74.5823,42.9665,0.006004,,0.049327,,0.13861199999999999,,0.058976,,0.48293,,0.212925,,0.11694700000000001,,0.010662,,0.322245,,0.317579,,0.007665,0.031681,0.360066,1.594584,0.07099,0.21965900000000002,0.784325,0.875699,0.14363299999999998,0.31129,0.860655,0.54581,0.073305,0.21729,0.7899229999999999,0.860506,0.25266500000000003,0.44000100000000003,0.638386,0.18601800000000002,0.16964300000000002,0.361288,0.84136,0.41478400000000004,0.122623,0.28961,0.849966,0.620854,0.008665,0.049648,0.436601,1.494424,0.215294,0.409298,0.765735,0.287428,0.21395999999999998,0.407634,0.769065,0.29176199999999997
W/LWAL+DUC/FW/HBET:1-2,74.5823,42.9665,0.005001,,0.067981,,0.145266,,0.062966,,0.572878,,0.21124,,0.111936,,0.004998,,0.330523,,0.327856,,0.007003,0.027006,0.12803,1.83296,0.060324,0.157308,0.435978,1.278409,0.11561400000000001,0.23361700000000002,0.5316,0.9739030000000001,0.053979,0.145273,0.41193500000000005,1.325847,0.236985,0.37235,0.537044,0.28074299999999996,0.154274,0.271968,0.5773,0.7852180000000001,0.090628,0.20558800000000002,0.50225,1.089598,0.007995,0.025991,0.126966,1.83405,0.17896800000000002,0.322955,0.5866600000000001,0.5808939999999999,0.178304,0.319288,0.585991,0.588561
MUR+CLBRS/LWAL+DNO/FW/HBET:1-3,74.5823,42.9665,0.008,,0.128634,,0.24656,,0.11694,,0.922435,,0.346522,,0.1929,,0.008663001,,0.507462,,0.502131,,0.015006,0.075685,0.436435,3.464874,0.107323,0.29728499999999997,1.301277,2.165481,0.185596,0.485858,1.534865,1.547121,0.098303,0.279235,1.226788,2.278734,0.484283,0.825664,1.34253,0.425088,0.25524,0.592866,1.586965,1.218407,0.157942,0.41216800000000003,1.449133,1.787857,0.015325,0.070312,0.435237,3.4704629999999996,0.340564,0.710878,1.574414,0.866682,0.333566,0.712541,1.572746,0.879016
MR+MOC/LWAL+DNO/FC/HBET:1-2,74.5823,42.9665,0.0,,0.002999,,0.014324,,0.003332,,0.454128,,0.034975,,0.007995,,0.0,,0.08261099,,0.078945,,0.0,0.001334,0.02134,15.977329999999998,0.005998,0.032988,0.5305479999999999,15.427470000000001,0.025648,0.11926600000000001,1.297505,14.54326,0.003331,0.029646,0.47145200000000004,15.492239999999999,0.446875,1.216127,5.138851,8.744019,0.051971,0.22121300000000002,1.9689990000000002,13.72284,0.019984,0.078957,0.991542,14.901520000000001,0.0,0.000666,0.021321,15.978010000000001,0.120932,0.424125,2.909911,12.46242,0.118601,0.41679399999999994,2.8782419999999997,12.50742
MUR+ADO/LWAL+DNO/FW/HBET:1,74.5823,42.9665,0.273395,,2.502751,,4.933516,,2.280907,,16.84521,,6.937172,,3.94361,,0.26720700000000003,,9.896633,,9.792313,,0.298413,0.992245,6.667999000000001,44.76795,1.8793849999999999,4.606486,17.23635,26.77502,3.044716,6.841010000000001,19.11334,19.067420000000002,1.718684,4.274723000000001,16.50505,28.220640000000003,6.169886,9.725639,14.93409,5.325176,3.936264,7.971528,19.20906,14.945979999999999,2.574677,5.980109,18.37857,22.12303,0.28989499999999996,0.963692,6.609942,44.86926,4.931177,9.032131,18.39449,10.745569999999999,4.913187000000001,8.993807,18.43979,10.8609
MCF+MOC/LWAL+DNO/FC/HBET:1-5,74.6448,42.9716,0.0,,0.006998,,0.025321,,0.01066,,0.384245,,0.054637,,0.019656,,0.0,,0.100289,,0.099956,,0.000334,0.004338,0.070694,1.924634,0.007667,0.038327,0.304322,1.642686,0.034647,0.10130399999999999,0.531576,1.307152,0.013329,0.051976,0.374239,1.549796,0.212008,0.37467399999999995,0.704386,0.324687,0.049987,0.154618,0.64858,1.092178,0.026651,0.083296,0.47987799999999997,1.390519,0.0,0.001999,0.04932,1.948681,0.097963,0.233931,0.757637,0.81018,0.097963,0.23393000000000003,0.756637,0.8115140000000001
UNK,74.6448,42.9716,0.001668,,0.036328,,0.13294,,0.057638,,1.409793,,0.24755700000000003,,0.102603,,0.001,,0.46246499999999996,,0.461132,,0.004004,0.019341,0.14539000000000002,4.829597,0.039331,0.10965599999999999,0.684995,4.12969,0.11328699999999998,0.31023,1.095489,3.3480540000000003,0.053646,0.160601,0.804826,3.923289,0.49435200000000007,0.8250149999999999,1.389456,0.8813840000000001,0.186582,0.436241,1.320535,2.809085,0.088299,0.257544,1.0201120000000001,3.5314419999999997,0.001666,0.010994,0.106642,4.879698,0.295277,0.590233,1.5072530000000002,2.144772,0.295944,0.5885670000000001,1.506586,2.147771
CR+PC/LFLS+DUC/FC/HBET:5-9,74.6448,42.9716,0.000667,,0.016667,,0.08664,,0.033987,,0.923359,,0.169283,,0.073963,,0.001665,,0.322929,,0.322929,,0.005338,0.021681,0.812952,5.159362000000001,0.038338,0.18800899999999998,2.204078,3.552908,0.128969,0.466253,3.055847,2.262291,0.065981,0.279604,2.574441,3.045987,0.63505,1.291389,2.674984,0.47521800000000003,0.20164,0.672227,3.2896099999999997,1.66724,0.118958,0.425563,2.9667380000000003,2.414778,0.004999,0.025327,0.8935559999999999,5.074453,0.336953,0.958573,3.2636950000000002,1.11785,0.336619,0.9562398999999999,3.266029,1.118183
CR+PC/LWAL+DUC/FC/HBET:1-16,74.6448,42.9716,0.0,,0.005998,,0.037977,,0.012658,,1.0457100000000001,,0.091942,,0.026314,,0.0,,0.22453800000000002,,0.22453800000000002,,0.000667,0.008005001,0.37350700000000003,11.61782,0.016331,0.096317,1.636263,10.24509,0.076954,0.344846,3.099007,8.441216,0.024987,0.155583,2.01615,9.790622,0.781894,1.950877,5.760066999999999,2.461452,0.155585,0.545161,4.038292,7.16902,0.058627,0.28318000000000004,2.736536,8.895342999999999,0.000333,0.003665,0.261934,11.73407,0.28621599999999997,0.843097,5.0261309999999995,5.620018,0.285883,0.8404290000000001,5.027798000000001,5.621352
CR+CIP/LFM+DUC/FC/HBET:1-7,74.6448,42.9716,0.005003,,0.11665,,0.416472,,0.17924400000000001,,4.825115,,0.7756270000000001,,0.32148899999999997,,0.002331,,1.480702,,1.4790370000000002,,0.01601,0.119056,2.678232,25.1817,0.160321,0.6872689999999999,7.8179419999999995,19.21782,0.48479799999999995,1.622503,11.42902,14.04721,0.230575,0.9316620000000001,8.870944,17.787570000000002,2.702843,5.4237400000000004,12.141869999999999,2.906428,0.7933899999999999,2.357729,12.97748,11.09578,0.401111,1.395461,10.64288,15.23906,0.009331,0.077641,2.110983,25.79972,1.242316,3.3483,13.896820000000002,8.031864,1.241314,3.3453,13.89615,8.038199
CR+CIP/LFINF+DNO/FC/HBET:3-7,74.6448,42.9716,0.005341,,0.12300699999999999,,0.518519,,0.230908,,4.818815,,0.976733,,0.45614399999999994,,0.007329,,1.875953,,1.87362,,0.025348,0.156078,4.03129,23.78194,0.219025,1.037072,10.419030000000001,16.20187,0.718156,2.382328,14.31662,10.06438,0.364917,1.509994,12.12396,13.770220000000002,2.959187,6.164013,12.148769999999999,1.909213,1.124809,3.237592,15.324079999999999,7.336789,0.642108,2.203183,13.9132,10.78536,0.025993,0.179947,4.41254,23.37419,1.7021220000000001,4.445243,15.27421,4.702468,1.7001240000000002,4.440242,15.27754,4.708469999999999
MUR+MOCL/LWAL+DNO/FC/HBET:1-2,74.6448,42.9716,0.038356,,0.49260200000000004,,1.538339,,0.720011,,11.69626,,2.640607,,1.243688,,0.021992,,4.544058000000001,,4.538728,,0.054697,0.218425,1.257179,32.431340000000006,0.410304,1.109942,4.61725,27.3699,1.030319,2.349059,7.268287,21.814,0.5507989999999999,1.439865,5.348011,25.94131,3.5154660000000004,5.225639,7.964705,5.597929,1.559226,3.155402,8.588535,18.05623,0.871303,2.078929,6.636016000000001,23.17006,0.031319,0.147278,0.9365,32.86291,2.171259,4.084779,9.498747,13.70116,2.167924,4.082445,9.502412,13.70849
